0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
46074,46652,46366,46006,45271,45135,43696,42972,43000,42522,43099,43503,43193,43222,43697,43635,44769,44667,44785,45440,47853,48971,48879,49381,50139,50633,51638,52191,53039,52182,51776,50129,49835,49032,48953,48748,49535,51061,52562,54432,54860,51136,50743,48551,47836,47656,48794,50594,51670,51138,51378,49700,48696,48422,46924,45761,45050,43489,43021,41444,40642,40074,38936,39250,40682,35057,33906,32530,29493,28563,27172,26007,25003,23908,23088,22674,21394,20085,19685,19162,19304,18608,17683,16816,15554,14358,13499,12155,10690,9322,7827,6139,4486,3698,2967,2254,1789,1210,822,552,840
47471,46330,47093,46690,46540,45839,45215,43760,43055,43088,42618,43185,43597,43273,43354,43822,44036,45306,45441,45623,46435,48790,50217,50410,50711,51168,51851,52721,53340,54211,53018,52475,50583,50092,49273,49106,49045,49633,51219,52792,54546,55050,51261,50843,48811,47883,47843,48752,50595,51635,51110,51324,49686,48460,48340,46826,45604,44841,43402,42904,41364,40638,39987,38788,39090,40371,34761,33551,32139,29115,28178,26797,25649,24599,23508,22703,22142,20806,19491,19055,18470,18516,17772,16779,15837,14592,13340,12397,10969,9611,8201,6795,5204,3759,3023,2345,1711,1327,860,565,897
48199,47664,46925,47634,47092,47107,46374,45357,43845,43164,43199,42735,43295,43739,43397,43569,44079,44484,46262,46772,46695,47668,50072,52458,51971,52223,52625,53524,54103,54488,55297,53787,53074,51024,50291,49547,49349,49404,49826,51424,52981,54730,55260,51441,51002,49053,48009,47963,48727,50645,51599,51124,51211,49656,48345,48259,46695,45507,44658,43358,42824,41260,40587,39856,38645,38898,40118,34513,33176,31738,28732,27876,26492,25305,24306,23124,22326,21641,20162,18868,18412,17755,17761,16937,15738,14826,13576,12281,11238,9833,8500,7144,5815,4363,3034,2416,1826,1263,954,601,937
46882,48335,48103,47664,48195,47637,47669,46904,45557,43960,43256,43320,42886,43444,43879,43614,43924,44477,45547,47697,48133,47898,49455,52625,54350,53686,54047,54436,55014,55377,55905,56204,54477,53627,51530,50673,49879,49468,49721,49962,51664,53168,54913,55461,51552,51046,49224,48033,48066,48652,50723,51598,51145,51107,49587,48271,48181,46632,45443,44530,43291,42719,41196,40502,39709,38411,38743,39858,34221,32748,31348,28362,27535,26138,24910,23915,22706,21899,21017,19546,18147,17687,17021,16892,15984,14763,13769,12481,11217,10116,8674,7394,6087,4875,3617,2449,1857,1394,897,650,980
47651,47478,48656,48510,48286,48743,48033,48109,47372,45764,44118,43382,43452,43051,43626,44175,44042,44559,45659,47327,49120,49453,49757,52452,54900,56181,55554,55837,55995,56571,56496,56886,56982,55109,54132,51878,50899,50071,49647,50030,50037,51781,53253,55020,55570,51553,51122,49389,48014,48163,48613,50755,51567,51084,50969,49539,48178,48100,46562,45340,44374,43174,42546,41090,40385,39580,38224,38456,39490,33788,32279,30856,27905,27099,25714,24462,23433,22229,21399,20389,18807,17420,16835,16149,15949,14981,13639,12594,11344,10016,8927,7480,6331,5060,4008,2854,1870,1385,982,580,959
49324,48220,48299,48926,48816,48878,49199,48326,48486,47804,45856,44169,43398,43511,43218,43923,44621,44631,45849,47409,48772,50437,51632,53341,55226,56893,58152,57504,57628,57430,58052,57471,57903,57788,55701,54689,52273,51096,50217,49745,50218,50098,51841,53338,55040,55700,51568,51156,49575,48023,48221,48487,50752,51503,51028,50900,49433,47991,48026,46482,45256,44187,43038,42354,40921,40262,39370,37998,38176,39066,33363,31734,30314,27395,26626,25204,23922,22920,21690,20864,19679,18029,16639,15945,15241,14943,13921,12460,11404,10224,8882,7722,6357,5297,4119,3197,2172,1377,1057,683,850
47940,49601,48690,48863,49336,49283,49296,49481,48703,48881,48150,46101,44494,43604,43772,43554,44423,45352,46271,48127,49227,50325,52852,55698,56229,57545,59138,60436,59564,59444,59045,59325,58635,58774,58638,56535,55230,52811,51477,50610,50131,50449,50339,52035,53453,55209,55807,51653,51139,49681,48014,48204,48485,50797,51470,51047,50864,49454,47957,48066,46488,45205,44119,42957,42183,40718,40032,39079,37638,37777,38694,33028,31312,29858,26890,26213,24696,23413,22354,21113,20182,18995,17334,15886,15127,14361,13934,12914,11327,10217,9100,7719,6634,5331,4333,3293,2464,1668,997,750,865
47249,47936,49731,48880,49187,49723,49527,49505,49627,48835,49027,48258,46195,44653,43763,43989,43844,45069,47285,48747,50016,50853,52821,56676,58102,57864,59046,60759,61809,60917,60480,59923,60047,59236,59237,58998,56903,55422,52988,51700,50793,50214,50467,50400,52073,53478,55168,55753,51611,51072,49650,47909,48161,48348,50659,51369,50872,50734,49305,47789,47909,46273,45046,43916,42732,41907,40385,39785,38713,37235,37396,38181,32591,30852,29374,26397,25677,24137,22831,21704,20467,19494,18252,16580,15118,14234,13389,12933,11815,10157,9061,7943,6591,5513,4333,3528,2564,1862,1268,753,941
47444,47225,48154,49938,49176,49516,49936,49789,49727,49917,49054,49238,48468,46387,44879,44006,44306,44305,46637,49725,50340,51274,53029,55828,58426,59141,59204,60441,62068,62897,61956,61454,60496,60644,59877,59678,59292,57221,55683,53101,51885,50940,50232,50487,50424,52048,53411,55118,55738,51517,50946,49580,47874,48144,48291,50602,51318,50853,50619,49293,47773,47900,46223,44963,43840,42640,41732,40196,39415,38418,36897,36997,37708,32145,30383,28875,25934,25156,23584,22290,21086,19750,18743,17476,15723,14250,13294,12464,11816,10734,9061,7896,6829,5541,4580,3546,2822,1955,1366,983,1136
46991,47360,47204,48218,50137,49481,49774,50102,50021,49922,50139,49165,49395,48593,46581,45099,44224,44514,44990,47586,49633,49900,51505,53973,55933,58387,59439,59459,61027,62649,63371,62301,61733,60674,60920,60118,59878,59565,57385,55792,53252,51978,51053,50329,50518,50473,52096,53518,55159,55762,51617,51053,49642,47989,48311,48489,50947,51689,51143,51027,49786,48127,48344,46550,45295,44074,42883,41909,40287,39427,38416,36791,36771,37425,31759,30044,28475,25537,24753,23106,21707,20493,19065,18039,16683,14897,13388,12359,11502,10705,9646,7896,6863,5785,4607,3629,2811,2236,1495,1013,1547
47222,47061,47483,47299,48411,50296,49602,49843,50270,50132,50026,50256,49311,49481,48682,46678,45198,44297,44415,44742,46924,48773,49053,50505,52507,54498,57421,58721,59131,60755,62349,63077,62194,61856,60758,61006,60269,59899,59697,57470,55837,53278,52059,51095,50330,50541,50493,52052,53422,55058,55683,51441,50876,49471,47727,48097,48233,50704,51266,50832,50658,49276,47607,47827,46064,44808,43651,42401,41458,39816,38977,37951,36250,36266,36875,31249,29540,27908,24955,24168,22443,21010,19764,18288,17235,15811,14006,12414,11311,10404,9597,8481,6812,5846,4850,3803,2939,2233,1795,1212,1995
