0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
39171,37911,38270,38735,38894,39849,40679,42582,44157,46874,46885,42897,43047,40981,40906,40583,41348,43189,44412,45500,45573,45004,44413,43977,42750,42258,42268,41743,42474,41677,42589,41278,41380,41540,43651,37074,36605,34878,31705,31390,31650,28627,29335,27981,27098,26999,25561,24690,25234,25735,28587,26499,27822,27804,27168,27834,27774,26983,26995,26861,27802,23909,22676,22410,22649,22150,22011,21134,20345,19615,19678,17189,16593,15298,14006,13513,12519,10869,9916,9223,9752,8665,6763,6148,5617,5207,4446,3696,3166,2733,2346,1643,1299,981,693,526,395,217,169,113,124
39590,39355,38082,38480,38998,39049,39971,40889,42687,44398,47112,47021,43091,43048,41024,40896,40678,41609,43523,44796,45926,46000,45334,44720,44413,43282,42944,42604,42198,42870,42013,42997,41667,41522,41784,43885,37388,36324,35121,31919,31394,31609,28777,29157,28051,27278,27158,25380,24793,25210,25670,28286,26572,27551,27648,27108,27930,27451,27009,26876,26746,27562,23761,22299,22100,22366,21898,21598,20878,20061,19168,19161,16879,15999,14802,13563,13026,11957,10428,9470,8710,9178,8121,6218,5574,5037,4596,3874,3220,2704,2280,1912,1330,1043,772,525,428,285,125,126,157
40588,39517,39303,38113,38449,39053,38925,39944,40962,42664,44538,47232,47015,43119,42898,41038,40796,40671,41724,43871,44918,45998,46024,45300,44747,44513,43505,43143,42613,42340,42957,42093,42970,41871,41387,41865,44025,37466,36032,35231,31980,31259,31439,28825,28921,28043,27368,27287,25173,24849,25182,25527,27966,26597,27229,27428,27018,27989,27125,27001,26728,26602,27227,23551,21879,21772,22016,21570,21152,20602,19759,18706,18584,16504,15395,14311,13132,12510,11352,9911,8988,8166,8594,7541,5646,5042,4502,4035,3359,2757,2255,1898,1548,1071,826,597,390,374,212,47,175
40159,40542,39662,39342,38167,38413,39095,38903,39969,40969,42657,44623,47273,47048,43079,42789,41047,40792,40731,42043,44100,45001,46006,46128,45270,44896,44674,43607,43407,42647,42494,43034,42197,42955,42062,41281,41852,44052,37557,35636,35371,32038,31135,31257,28856,28692,28005,27477,27446,25005,24917,25147,25435,27623,26639,26951,27263,26931,28010,26835,27016,26650,26445,26890,23372,21506,21500,21712,21263,20712,20342,19421,18243,17972,16107,14756,13826,12642,12004,10709,9400,8517,7614,7986,6924,5112,4537,3979,3535,2887,2346,1918,1559,1225,866,641,452,291,329,135,113
40477,40183,40611,39844,39494,38333,38529,39296,39005,40026,41007,42745,44755,47405,47207,43265,42786,41225,40848,41061,42485,44457,45281,46277,46479,45539,45189,44969,43936,43805,42736,42735,43214,42233,43024,42316,41253,41992,44133,37726,35357,35511,32196,31035,31082,28914,28505,27994,27601,27624,24870,25004,25160,25325,27336,26657,26681,27051,26831,28101,26549,27017,26613,26241,26530,23135,21082,21172,21356,20886,20256,20007,18977,17717,17298,15708,14086,13261,12102,11421,10048,8881,7986,7030,7333,6312,4541,4027,3510,3056,2429,1986,1596,1250,959,712,489,359,217,312,96
40294,40454,40308,40819,40157,39771,38705,38760,39569,39223,40169,41176,42900,44962,47618,47253,43503,42812,41025,41113,41432,42621,44561,45467,46491,46990,45753,45490,45323,44453,44343,42974,43074,43586,42437,43235,42451,41199,42103,44290,37994,35055,35673,32295,30908,30871,28976,28303,28033,27724,27791,24669,25077,25108,25213,27170,26729,26421,26913,26795,28232,26234,27055,26536,26124,26307,23054,20772,20834,21059,20573,19764,19663,18555,17216,16665,15291,13370,12674,11568,10849,9430,8363,7442,6426,6708,5724,4008,3547,3006,2547,1976,1634,1293,992,742,595,384,283,179,280
40655,40614,40772,40618,41046,40523,40166,39051,39179,39850,39595,40447,41591,43205,45108,47688,47594,44112,43220,41820,42119,42407,43292,45315,46289,47259,48048,46439,46042,45984,44996,44958,43581,43576,44002,42765,43649,42523,41618,42250,44033,38287,35546,35599,32086,31003,31057,28959,28403,28093,27734,27663,24830,25048,25006,25224,27286,26679,26540,26957,26736,28119,26191,26807,26212,25839,26048,22892,20620,20494,20682,20208,19419,19109,17954,16649,16029,14683,12802,12054,10932,10127,8876,7742,6799,5850,5928,5039,3516,3064,2579,2147,1641,1315,1007,770,563,441,278,200,310
41881,41000,40964,41144,41105,41339,40894,40636,39413,39603,40138,39962,40725,42021,43515,45276,47776,48091,44556,43851,42685,42883,43074,44020,46254,47249,48230,49113,47352,46783,46754,45528,45575,44231,44110,44346,43024,44110,42624,42014,42422,43783,38526,35919,35545,31930,31072,31103,28930,28466,28120,27738,27567,25031,24988,24985,25226,27396,26598,26674,27013,26658,27909,26117,26627,25860,25564,25727,22635,20406,20149,20256,19740,18991,18506,17274,16006,15347,13933,12188,11341,10243,9410,8196,7058,6152,5269,5179,4384,3025,2620,2157,1758,1312,1024,749,567,406,310,191,332
42221,41835,41056,41141,41386,41327,41467,41052,40879,39628,39846,40219,40197,40896,42252,43665,45366,47961,48215,44962,44389,43012,43056,43503,44307,46816,47852,48560,49741,47898,47149,47186,45769,45911,44646,44436,44354,43021,44427,42637,42248,42489,43497,38676,36247,35422,31733,31001,31168,28861,28506,28080,27674,27377,25193,24906,24893,25211,27442,26467,26700,26964,26454,27698,26011,26331,25461,25271,25395,22341,20190,19720,19733,19248,18492,17901,16575,15341,14682,13172,11528,10631,9541,8686,7535,6401,5520,4741,4440,3759,2596,2197,1785,1430,1029,781,548,432,303,225,356
42410,42090,41665,41150,41320,41506,41435,41507,41092,41019,39740,40054,40226,40333,40982,42393,43746,45452,47727,48426,45433,44581,43092,43219,43837,44798,47207,48228,48871,50415,48382,47422,47397,45840,46163,44951,44567,44264,43140,44643,42518,42395,42494,43078,38800,36531,35199,31402,30957,31190,28702,28553,28066,27620,27175,25333,24843,24753,25124,27427,26273,26676,26871,26251,27389,25804,26003,24970,24834,24962,21916,19860,19242,19171,18730,17978,17231,15811,14582,13874,12333,10817,9887,8803,7879,6795,5677,4799,4131,3675,3108,2172,1739,1374,1077,741,560,356,307,209,379
